TV,Radio,Newspaper,Sales
-1.3233289197771112,-1.4911051685229377,-1.2112679347855069,4.8
-1.3219147291067643,1.6382097142965013,1.1741965275997894,7.2
1.5913180518078491,-0.026746281049738703,-1.1145599160401571,17.4
0.6975495481486086,1.1300303743514641,0.6423024245003651,18.5
-0.4663293735468899,-0.2607762402349532,-0.6535850266873228,11.3
-0.4861280429317466,0.8157615720170336,2.4314007712893373,12.5
-0.06611341383871733,-1.1233438040890293,-1.0114046960451173,9.7
-1.2017085221272779,1.4376126064234604,0.9904512919836246,9.3
1.3806036419261614,-1.4576723172107644,-0.560100608566818,10.6
0.6381535399940389,-0.033432851312173495,-0.6277962216885629,14.6
1.1119074145602503,-0.909373555691119,0.6390788238755202,12.9
-1.1083719378843826,0.715463018080513,0.880848870738895,9.2
0.254907868330029,-0.3209553725968654,-0.8695662685519374,13.2
-0.510169284327644,-1.243702068812854,-0.46339258982146814,8.6
1.4414138407510777,0.5683584723069495,0.2393523463947408,19.0
-0.6317896819774772,0.5616719020445147,-0.4859577941953831,11.8
